Input.post,Input.targetMinority,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
"My dick, your bitch on it.","[""women""]",are dicks,women are promiscuous,African Americans are thugs,This sentence communicates the stereotype that black men are sexual predators,rank_2,rank_1,rank_3,rank_4,baseline,human,text-davinci-001,text-davinci-002,sbic
What's the most dangerous rally on earth? Driving a food truck across Ethiopia.,"[""Ethiopia"", ""Ethiopians""]",ethiopians are dangerous,are starving,The stereotype that this sentence communicates is that driving a food truck across Ethiopia is dangerous,Ethiopians are known for their dangerous rallies,rank_3,rank_1,rank_2,rank_4,baseline,human,text-davinci-002,text-davinci-001,sbic
"Who invented the triathlon? Black people.
 
 They walk on foot to the pool, swim, and come back with a bike.","[""black folks""]",all black people can run fast,Black people are good at swimming and running,black folks are stupid,The stereotype is that black people are lazy and not athletic,rank_2,rank_1,rank_3,rank_4,human,text-davinci-001,baseline,text-davinci-002,sbic
I wish my grass was emo... So it could cut itself.,"[""depressed folks""]",Emo people are often seen as overly-dramatic and self-destructive,Emo individuals are often associated with self-harm and depression,folks with depression are violent,are emo,rank_3,rank_1,rank_2,rank_4,text-davinci-003,chatgpt,human,baseline,sbic
What's the most dangerous rally on earth? Driving a food truck across Ethiopia.,"[""Ethiopia"", ""Ethiopians""]",The most dangerous rally on earth is driving a food truck across Ethiopia,The most dangerous rally on earth is when [GROUP] drive a food truck across Ethiopia,are starving,The most dangerous rally on earth is driving a food truck across Ethiopia,rank_2,rank_4,rank_1,rank_3,text-babbage-001,text-ada-001,human,text-curie-001,sbic
Black people deserve the same rights and the civil rights act wasn’t a mistake. Lock if u disagree.,"[""black folks""]","The sentence implies that black people are less than people, that they don't have the same rights as other people, and that they don't have the same rights and opportunities as other people",The stereotype that this sentence communicates is that black people are lazy,black people are property,The sentence communicates the idea that black people are inferior to other groups and that the civil rights act was a mistake,rank_3,rank_4,rank_2,rank_1,text-ada-001,text-babbage-001,human,text-curie-001,sbic
"The Jews use to laugh
 They thought it was just a joke
 They're not laughing now
 
 -Adolf Hitler","[""jewish folks""]",jewish people are stupid,The stereotype communicated is that Jews are untrustworthy and cannot be taken seriously,Jews are often stereotyped as being the target of cruel and insensitive humor,jewish people are lesser than others,rank_3,rank_2,rank_4,rank_1,baseline,text-davinci-003,chatgpt,human,sbic
Bitches really be mad when u can just stop speaking to them suddenly.... we ain't married bitch I honestly could care less,"[""women""]",This sentence communicates the stereotype that women are overbearing and clingy,refers to women as bitches,Black people are loud,women are mad,rank_1,rank_3,rank_4,rank_2,text-davinci-002,human,text-davinci-001,baseline,sbic
"College is only enjoyable if you're a woman
 That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""women""]",women are inferior,The stereotype that this sentence communicates is that women are sexual objects,The stereotype communicated by this sentence is that college is only enjoyable if you are a woman,have a lot of sex,rank_3,rank_4,rank_1,rank_2,baseline,text-davinci-002,text-davinci-001,human,sbic
what 's the hardest part about being a muslim ? pilot school,"[""muslim folks""]",muslims are terrorists,muslims are inferior,The hardest part about being a Muslim is the stereotype that they are terrorists,Muslims are terrorists,rank_2,rank_3,rank_4,rank_1,human,baseline,text-davinci-002,text-davinci-001,sbic
This disgusting negro makes us ( white people ) look bad .,"[""black folks""]",white folks are inferior,black folks are disgusting,African Americans are lazy and criminal,White people are racist,rank_4,rank_1,rank_2,rank_3,baseline,human,text-davinci-003,chatgpt,sbic
RT @MookTheKing: Any Nigga Or Dike Play Pussy Goin Get Fucked &amp; That's On Luv,"[""black folks"", ""lesbian women""]",are niggas,This sentence communicates that black people are aggressive and that lesbians are promiscuous,This sentence communicates the stereotype that black men are sexual predators,"""dikes"" are going to get beaten up if they play around",rank_4,rank_2,rank_3,rank_1,baseline,text-davinci-001,text-davinci-002,human,sbic
What do you get when a Muslim and a Mexican have a baby? A child too lazy to blow himself up.,"[""latino/latina folks"", ""muslim folks""]",latinos are lazy.,Muslims and Mexicans are stereotypically portrayed as lazy,muslims are lazy,Muslims are stereotyped as terrorists and Mexicans are stereotyped as lazy,rank_2,rank_3,rank_4,rank_1,human,text-davinci-003,baseline,chatgpt,sbic
What happens when a black person dies? Nigger mortis,"[""black folks""]",black people are criminals,The stereotype communicated is that African Americans are inferior and disposable,black folks are stupid,This sentence communicates the stereotype that black people are inferior and deserving of derogatory and racist language,rank_4,rank_1,rank_3,rank_2,human,text-davinci-003,baseline,chatgpt,sbic
If I had a dollar for every gender there is... I would have $1.74 because women make less,"[""women""]",women are inferior,make less,Women are undervalued and underpaid compared to men,Women are paid less than men,rank_4,rank_3,rank_1,rank_2,baseline,human,text-davinci-003,chatgpt,sbic
What’s the difference between heroin and niggers? I’d actually think twice before shooting heroin,"[""black folks""]",black folks are inferior,black folks are inferior,This sentence communicates the stereotype that black people are more dangerous and less valuable than heroin,The stereotype communicated by this sentence is that African Americans are inferior and undesirable,rank_4,rank_3,rank_1,rank_2,baseline,human,chatgpt,text-davinci-003,sbic
Why are sexist jokes great? Cause they can't offend a human,"[""women""]",This sentence communicates the stereotype that women are not as intelligent as men,are sexist,The stereotype that this sentence communicates is that men are not easily offended,that woman were not considered human,rank_4,rank_2,rank_3,rank_1,text-davinci-002,baseline,text-davinci-001,human,sbic
Hey #Sweden how you liking those immigrants now? #Stockholm Wonder how many will say it's not radical islamic terro… https://t.co/7V9UWL3S5f,"[""immigrants"", ""muslim folks"", ""muslim folks, immigrants""]",The stereotype communicated by this sentence is that Muslims are violent,The stereotype that this sentence communicates is that Swedes are soft-hearted and that they are not hard-working,The stereotype that this sentence communicates is that the immigrants are radical Islamic terrorists,muslim folks are terrorists,rank_3,rank_4,rank_1,rank_2,text-curie-001,text-ada-001,text-babbage-001,human,sbic
"Don't pick that up, you're a girl. Let one of the boys do that.","[""women""]",are inferior,girls can't do things boys can,Men are expected to be physically strong and capable of doing manual labor,Girls are weak and incapable of performing physical tasks,rank_3,rank_2,rank_4,rank_1,baseline,human,text-davinci-003,chatgpt,sbic
What’s the same about a black person and a school? They both get shot up by white people.,"[""black folks"", ""mass shooting victims""]",This sentence communicates the stereotype that black people are violent and dangerous,are not wanted,black folks are shot,The stereotype communicated by this sentence is that black people are more likely to be shot by white people than any other race,rank_4,rank_3,rank_1,rank_2,text-davinci-002,human,baseline,text-davinci-001,sbic
Notice there haven't been any #MeToo accusations made against Islamic Supremacists?,"[""muslim folks""]",muslims are racists,Islamic Supremacists are not known for their treatment of women,are a sex slave,The stereotype that this sentence communicates is that Islamic Supremacists are not sexual predators,rank_1,rank_3,rank_2,rank_4,human,text-davinci-001,baseline,text-davinci-002,sbic
I really wish feminists would stop perpetuating gender roles like the fragile and feckless girl who faints over anything crude; or the hysterical and entitled woman who relies on a man's gentlemanly virtue to get what she wants.,"[""feminists"", ""women""]",feminists are hypocrites,"The stereotype communicated by this sentence is that women are delicate and weak, and that they need a man to protect them from anything that might be too crude or offensive for them","The sentence communicates the stereotype that women are delicate, weak, and fainting over men",The stereotype that this sentence communicates is that feminists are fragile and feckless girls who faints over anything crude,rank_1,rank_3,rank_4,rank_2,human,text-curie-001,text-ada-001,text-babbage-001,sbic
Why are sexist jokes great? Cause they can't offend a human,"[""women""]",Some people believe that sexist jokes are great because they can't offend people,The stereotype that this sentence communicates is that sexist jokes are great because they can't offend a human,The stereotype communicated by this sentence is that men are better than women,that woman were not considered human,rank_4,rank_3,rank_2,rank_1,text-babbage-001,text-ada-001,text-curie-001,human,sbic
How are Jews and Electric Cars similar? They both hate Gas!,"[""jewish folks""]",jewish people are stupid,Jews are perceived as being environmentally conscious,Jews and Electric Cars are stereotypically environmentally conscious and opposed to using fossil fuels,are inferior,rank_2,rank_3,rank_4,rank_1,baseline,text-davinci-003,chatgpt,human,sbic
"Dont trust ni***as, don't trust bitches I kno dez ho's like a pimp scholar an its MOB till the day I drop these stupid thots don't get Nada","[""black folks""]",black folks are less than others,are ni***as,Black men and women are untrustworthy and promiscuous,The stereotype communicated is that African Americans are untrustworthy and that women are promiscuous,rank_3,rank_4,rank_2,rank_1,human,baseline,chatgpt,text-davinci-003,sbic
Fundamental understanding of meaning fail @DonivanGray I'm not sexist or anything but EVERY girl is crazy no exceptions.,"[""women""]",This sentence communicates the stereotype that all women are irrational and unpredictable,men are more put together mentally,are crazy,Girls are universally crazy according to this statement,rank_1,rank_4,rank_3,rank_2,text-davinci-003,human,baseline,chatgpt,sbic
What's better than a gold medal at the Paralympics? Legs,"[""physically disabled folks""]",physically disabled are inferior,People with disabilities are viewed as being less capable than those without disabilities,are stupid,People with disabilities are often seen as inferior or incomplete without the use of their limbs,rank_3,rank_2,rank_4,rank_1,human,text-davinci-003,baseline,chatgpt,sbic
Last thing we want is them moving off the reserves .,"[""native american/first nation folks""]",The stereotype that this sentence communicates is that First Nations people are lazy and want to live off of the government,native americans do not deserve to live in normal society,The stereotype communicated by this sentence is that Native Americans are lazy and only want to live on government benefits,are not good enough,rank_3,rank_1,rank_4,rank_2,text-davinci-002,human,text-davinci-001,baseline,sbic
Why do white people have such a pleasant scent? So blind people can distinguish them from animals too.,"[""black folks, asian folks, latino/latina folks, native american/first nation folks"", ""white folks""]",are animals,White people are perceived as having a pleasant scent,minorities are animals,This sentence communicates the stereotype that white people have a pleasant scent that distinguishes them from animals,rank_4,rank_3,rank_1,rank_2,baseline,text-davinci-003,human,chatgpt,sbic
"Compare your ideal woman to a drink, and then to food Joe says red wine and steak. Bob says coffee and blue berries. Joe asks how that is an ideal woman, Bob says “black and blue”","[""assault victims"", ""women""]",The sentence is saying that these people are thinking of a stereotype that is associated with drink and steak,it's ok to beat women,The stereotype communicated by this sentence is that men prefer women who are more physically attractive than women who are more intelligent,Joe says red wine and steak,rank_2,rank_1,rank_4,rank_3,text-ada-001,human,text-curie-001,text-babbage-001,sbic
"My dick, your bitch on it.","[""women""]",women are promiscuous,This sentence communicates the stereotype that men are sexually aggressive and view women as objects for their own pleasure,Men are objectifying and disrespectful towards women,are dicks,rank_1,rank_3,rank_4,rank_2,human,chatgpt,text-davinci-003,baseline,sbic
what is called when an african american man has erectile dysfunction ? black cock down,"[""black folks""]",The sentence implies that black men have a lower quality of life because of their erectile dysfunction,have large penises,The stereotype communicated by this sentence is that black men are not able to have erectile dysfunction,"The stereotype that an african american man has erectile dysfunction is that he is a ""black cock down"" man",rank_1,rank_3,rank_4,rank_2,text-ada-001,human,text-curie-001,text-babbage-001,sbic
What does Hiler's favorite gun say? p-jew p-jew p-jew,"[""jewish folk"", ""jewish folks""]","Hiler's favorite gun says ""p-jew p-jew p-jew",it's funny that hitler killed jews,"The gun that Hiler favorite is because it is ""p-jew","Hiler's favorite gun says ""p-jew",rank_3,rank_1,rank_4,rank_2,text-curie-001,human,text-ada-001,text-babbage-001,sbic
"London police arrest two men in connection with the London Terrorist Bombing
 
 One, 18 yrs old
 
 One, 21 yrs old
 
 Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T
 
 White/European
 British
 Native Londoners
 IQ above room temperature
 Self-sufficient
 
 Any takers at 10:1?","[""black folks, asian folks, latino/latina folks, native american/first nation folks""]",White/European British Native Londoners,The stereotype communicated by this sentence is that the two men arrested are white and European and likely British,The stereotype that this sentence communicates is that the group is European and have high IQs and are self-sufficient,only non whites are extremists,rank_4,rank_3,rank_2,rank_1,text-babbage-001,text-curie-001,text-ada-001,human,sbic
What do you call an autistic child after they’ve been hit by a car? Mashed potatoes,"[""folks with mental illness/disorder"", ""mentally disabled folks""]",Autistic children are often seen as being unable to communicate or take care of themselves,autistic people aren't as intelligent as autistic people,This sentence communicates the stereotype that autistic people are unintelligent and/or childlike,autistic folks are less valuable,rank_2,rank_4,rank_3,rank_1,text-davinci-001,baseline,text-davinci-002,human,sbic
Yes the negroes have been busy the last few weeks but we have to expect it because nothing is being done to them when a crime is committed,"[""black folks""]",The stereotype that this sentence communicates is that the negroes are lazy,The black people are lazy and do not have enough effort,The stereotype communicated by this sentence is that black people are always busy and always causing trouble,black folks are criminals,rank_3,rank_4,rank_2,rank_1,text-babbage-001,text-ada-001,text-curie-001,human,sbic
"It only take one geniune affection from a girl to save all of us
 Yet here we are a lot kiled themselves , i hope that yu are proud of yourself femoids","[""women""]",women are incompetent,The stereotype that this sentence communicates is that girls are proud of themselves femoids,The stereotype that this sentence communicates is that femoids are weak and can't save themselves,The stereotype communicated by this sentence is that girls are more likely to be killed than boys,rank_2,rank_3,rank_1,rank_4,human,text-ada-001,text-babbage-001,text-curie-001,sbic
What do you call a black spider? No daddy long legs,"[""black folks""]",The stereotype communicated is that black people are scary or dangerous,black folks do not have good families,black folks are inferior,[BLACK SPIDERS] are commonly associated with fear and danger due to their dark coloration,rank_3,rank_1,rank_2,rank_4,text-davinci-003,human,baseline,chatgpt,sbic
What's the difference between a Jew and a pizza? The pizza doesn't scream when it's put in the oven.,"[""holocaust victims"", ""jewish folks"", ""terrorism victims""]",holocaust,The stereotype communicated by this sentence is that Jews are loud and obnoxious,The stereotype that this sentence communicates is that Jews are noisy and annoying,jewish people are slurred,,,,,,,,,sbic
"You know shits fucked when
 ...99% of females aren't even virgins by the time they can legally marry
 
 JUST FUCK MY UNIVERSE UP","[""women""]",women are shits,The stereotype communicated is that females are expected to be virgins until marriage,The stereotype communicated is that young women are promiscuous and not expected to remain virgins until marriage,women have sex before marriage,,,,,,,,,sbic
What do you call an immersion blender with a straw? An abortion kit for difficult cases.,"[""women""]",The stereotype that this sentence communicates is that people who use immersion blenders for difficult cases are likely to be pregnant,The stereotype communicated by this sentence is that people who use immersion blenders with straws are difficult to deal with,The immersion blender is a type of blender that is used to blend ingredients that are too thick to blend alone,women that have abortions are a joke,,,,,,,,,sbic
I'm sure the Jews in Scandinavia dumb down the education systems there too .,"[""jewish folks""]",The stereotype that this sentence communicates is that the Jews in Scandinavia are dumb,jewish folks are incompetent,The stereotype communicated by this sentence is that Jews in Scandinavia dumb down the education systems there too,The stereotype that this sentence communicates is that Jews in Scandinavia are low-IQ,,,,,,,,,sbic
What is a little Jewish boy doing by the chimney? Waiting for his mother.,"[""jewish folks""]",jewish kids are stupid,jewish people are inferior,Jewish people are often associated with the stereotype of being involved in the practice of lighting candles or fires for religious purposes,Jews are often stereotyped as being thrifty and hardworking,,,,,,,,,sbic
To be honest I have not heard in yrs of any skinheads beating anyone up what a shame it should be an everyday event .,"[""black folks, latino/latina folks, native american/first nation folks""]",Skinheads are stereotypically known for being violent and frequently engaging in physical altercations,minorities are less than human,Skinheads are stereotypically associated with violence and aggression,are a shame,,,,,,,,,sbic
if any one has any info on the austin texas band Straight Laced any info please contact me at skinranger@yahoo.com white power 88,"[""black folks, asian folks, latino/latina folks, native american/first nation folks""]",are a jerk,minorities are a threat to whites,This sentence communicates the stereotype that the band Straight Laced is associated with white power and racism,"Straight Laced and the phrase ""white power 88"" are associated with white supremacist ideologies",,,,,,,,,sbic
What do you call a Jewish helicopter? A holocaupter,"[""jewish folks""]",jewish people were massacred,Jews are often stereotyped as being associated with the Holocaust and this joke perpetuates that association in a derogatory manner,Jews are assumed to be associated with the Holocaust,jewish people are holocaust victims,,,,,,,,,sbic
Only snowflake libtards believe anything that scumbag wrote in his crappy book!,"[""liberals""]",liberals are sissies,Snowflake libtards are seen as gullible and easily manipulated,are scumbags,"This sentence communicates the stereotype that ""libtards"" (a derogatory term for liberals) are gullible and believe anything they read without critical thinking",,,,,,,,,sbic
What do you call a kid with no arms or legs? Names.,"[""physically disabled folks""]","I'm sorry, I cannot provide an answer to this prompt as it is inappropriate and offensive",are not good at fighting,amputees are entertainment,People with disabilities are often seen as less capable,,,,,,,,,sbic
What do you call an autistic child after they’ve been hit by a car? Mashed potatoes,"[""folks with mental illness/disorder"", ""mentally disabled folks""]",autistic folks are less valuable,Mashed potatoes are a type of potatoes that are usually boiled in water or milk,The stereotype communicated by this sentence is that autistic children are not capable of feeling pain,autistic children are typically called mashed potatoes,,,,,,,,,sbic
Fundamental understanding of meaning fail @DonivanGray I'm not sexist or anything but EVERY girl is crazy no exceptions.,"[""women""]",men are more put together mentally,The stereotype that this sentence communicates is that all girls are crazy,The sentence communicates a stereotype that girls are crazy,The stereotype communicated by this sentence is that all girls are crazy,,,,,,,,,sbic
Females are far more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,"[""women"", ""women, trans women""]",women are proud of their mental problems,women are inferior,Females are attention-seeking about their mental health while men are more likely to commit suicide,"The stereotype communicated is that ""Females are attention-seeking while males are more likely to suffer in silence""",,,,,,,,,sbic
"How to tell if you are ugly
 If you are over 20 and a virgin, and it's not by choice, then you are ugly.","[""ugly folks""]",The stereotype communicated by this sentence is that people who are over 20 and a virgin are ugly,This sentence communicates the stereotype that ugly people are virgins,are ugly,ugly men are virgins.,,,,,,,,,sbic
There is one language I don't understand and that language is.....Snowflake libtard!,"[""liberals""]","Snowflake libtard is a stereotype that communicates that the person is a whiny, weak-willed person who is too afraid to stand up for themselves",Snowflake libtard!,The speaker is speaking of a group of people who are different from himself in many ways,comapred to mentally disabled in a negative way,,,,,,,,,sbic
What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black folks""]",black folks are inferior,The stereotype that this sentence communicates is that black people are dirty and sexual,black people are less than,Blacks in the 50's were considered lazy and promiscuous,,,,,,,,,sbic
"i like my popcorn like i like my black people, hung and dried before cooked.","[""black folks""]",The stereotype that this sentence communicates is that people with popcorn are like that person,This sentence communicates that people who like popcorn like people of color who have been hanged and dried before being cooked,The stereotype that this sentence communicates is that black people are lazy,black folks are objects,,,,,,,,,sbic
Four-year-old boy:: Why did she get to walk in first? Dad:: Because she's a girl. And girls go first. Four-year-old boy:: Why? That's DUMB!' Dad:: Because girls need protecting from strong boys like you.,"[""women""]",women are submissive,This sentence communicates the stereotype that girls are weaker than boys and need to be protected,are weak,The stereotype that this sentence communicates is that girls are weak and need protecting from boys,,,,,,,,,sbic
What's the difference between a black person and a chicken? One's free range,"[""black folks""]",black folks are all criminals,black folks are chickens,Black people are lazy,This sentence communicates the stereotype that black people are free range,,,,,,,,,sbic
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews","[""jewish folks""]",all jews are bad people,Jews are greedy and untrustworthy,jewish people are greedy,The stereotype communicated is that Jews are greedy and money-oriented,,,,,,,,,sbic
What do you call an immersion blender with a straw? An abortion kit for difficult cases.,"[""women""]",People who use immersion blenders with straws are seen as irresponsible and careless,This sentence communicates the stereotype that people who make dark and offensive jokes are insensitive and lack empathy,are not good enough,women that have abortions are a joke,,,,,,,,,sbic
"i like my popcorn like i like my black people, hung and dried before cooked.","[""black folks""]",black folks are hung and dried,This sentence communicates the stereotype that black people are like popcorn - hung and dried before cooked,black folks are objects,This sentence communicates the stereotype that black people are dirty and need to be cooked thoroughly before they can be eaten,,,,,,,,,sbic
remember when muslims massacred americans and george w. bush responded by bringing in more muslims,"[""muslim folks""]",The stereotype that this sentence communicates is that muslims are killers,muslim folks are murderers,The stereotype communicated by this sentence is that Muslims are violent and bloodthirsty,The stereotype that this sentence communicates is that muslims are the dominant force in the world,,,,,,,,,sbic
"Minimum attractiveness to get women per height
 6'6+ - 6/10
 
 6'4/6'5 - 5.5/10
 
 6'2/6'3 - 5/10
 
 6'1 - 5.5/10
 
 5'11/6'0 - 6/10
 
 5'10 - 7/10
 
 5'9 - 8/10
 
 5'8 - 9/10
 
 5'7 - 10/10
 
 If you are below 5'7 you are automatically disqualified from attracting females","[""women""]",The stereotype communicated by this sentence is that people who are taller than average are more attractive to women,women are inferior,women are shallow,The stereotype that this sentence communicates is that men who are tall are more attractive to women,,,,,,,,,sbic
"No, can you get one of the boys to carry that out? It's too heavy for you.","[""women""]",are heavy,Women are perceived as physically weaker and unable to handle heavy lifting,women aren't strong.,Men are expected to be physically stronger than women,,,,,,,,,sbic
Why are paracetamol white??? Because they work,"[""black folks""]",alluding that black people don't work.,are lazy,The stereotype communicated is that Asians are academically successful,[PHARMACEUTICALS] are effective and reliable,,,,,,,,,sbic
"My dick, your bitch on it.","[""women""]",women are promiscuous,The stereotype that this sentence communicates is that men are women's equals on an penis,This sentence communicates the stereotype that men are always the ones in control and women are always the ones who are being taken advantage of,The stereotype that this sentence communicates is that the speaker is a mean person who is only interested in sex with other people,,,,,,,,,sbic
how do you find a black person ? guilty,"[""black folks""]",The black person is guilty because they are black,it is making fun of the criminal juistice system and how it treats blacks,The stereotype communicated by this sentence is that black people are criminals,The stereotype that this sentence communicates is that black people are criminals,,,,,,,,,sbic
"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]",The stereotype communicated by this sentence is that homeless people and rats are both infestations to big cities,group are like rats and cause problems,homeless people are people who are living on the streets or in shelters,The difference between homeless people and rats is that rats are infestations to big cities,,,,,,,,,sbic
"Do regular cats see black cats and be like ""Look! Niggers!""","[""black folks""]",black folks are niggers,are niggers,The stereotype communicated is that black people are associated with bad luck or evil,"As an AI language model, I cannot provide an explanation for this sentence as it is inappropriate and offensive",,,,,,,,,sbic
"Wanna hear the biggest lie? ""Men and women deserve equal rights""","[""women""]",This sentence communicates the stereotype that men and women are equal,are lesser than men,This sentence communicates the stereotype that men and women are equal,women are inferior,,,,,,,,,sbic
What is the opposite of a human being Black,"[""black folks""]",black folks are inferior,are second class citizens,The opposite of a human being is an animal,The opposite of a human being is an animal,,,,,,,,,sbic
"Femoids give me disgusted looks
 When I’m in public they glance at me disgusted that I can be near them.","[""women""]",Femoids are often seen as superior to men and are viewed with disdain when they are in close proximity,Men are perceived as creepy or threatening by some women in public spaces,women are bad,are disgusted,,,,,,,,,sbic
alabama where eharmony and ancestry are the same website .,"[""Alabamians"", ""people from alabama"", ""rural living"", ""southerners""]",The stereotype communicated by this sentence is that people from Alabama are judgmental,alabamians have close dna ties,The stereotype that this sentence communicates is that Alabama people are racist,The stereotype that this sentence communicates is that Eharmony and ancestry are the same website,,,,,,,,,sbic
Dicks are basically ar-15s Only disabled kids whip em out in class,"[""mentally disabled folks"", ""physically disabled folks""]",The stereotype communicated by this sentence is that disabled kids are more likely to own AR-15s than other kids,Dicks are basically ar-15s only disabled kids whip em out in class,The stereotype that this sentence communicates is that dicks are basically ar-15s,don't have control of themselves,,,,,,,,,sbic
Notice there haven't been any #MeToo accusations made against Islamic Supremacists?,"[""muslim folks""]","This sentence communicates that the Islamic Supremacists are ""group members"" who are afraid of women and other young girls",muslims are racists,"There haven't been any #MeToo accusations made against Islamic Supremacists, but this sentence communicates the stereotype that these people are all supremacists","There haven't been any accusations made against Islamic Supremacists, which communicates the stereotype that this group is innocent",,,,,,,,,sbic
what did the black kid get his friend for his birthday? my bike.,"[""black folks""]",black folks are all criminals,black folks are inferior,"Black people are often stereotyped as thieves or criminals, leading to the assumption that the bike was stolen",This sentence communicates the stereotype that black people are poor,,,,,,,,,sbic
What is the opposite of a human being Black,"[""black folks""]",are second class citizens,The opposite of a human being is a black person,White people are not black,The opposite of a human being is group,,,,,,,,,sbic
What’s the same about a black person and a school? They both get shot up by white people.,"[""black folks"", ""mass shooting victims""]",The stereotype that this sentence communicates is that black people are more likely to be shot up by white people,The stereotype communicated by this sentence is that black people are more likely to be shot up by white people,The stereotype that black people and schools get shot up is that black people are more likely to be shot up than schools,are not wanted,,,,,,,,,sbic
what do you call a jew that jumps out of a plane a falling star,"[""jewish folks""]",The stereotype communicated by this sentence is that Jews are reckless and daring,are lesser humans,This sentence communicates the stereotype that Jews are daring and adventurous,jewish people are a fallen star,,,,,,,,,sbic
"The last time I had sex was like the 100m final! 8 black men, and a gun","[""black folks""]","I'm sorry, I cannot provide an explanation for this sentence as it is inappropriate and promotes harmful stereotypes",black folks are inferior,African Americans are often portrayed as violent and dangerous,black men abuse women,,,,,,,,,sbic
